gid,lon,lat,overlap_class,E_high,P_high,adjusted_ch4,index_ch4,density_land_area,coast_distance_km,land_fraction
37.55_117.85,117.85,37.55,Neither,False,False,-0.6465642359049534,0.0543384054396518,0.0,68.69277718471253,1.0
37.55_117.95,117.95,37.55,Neither,False,False,-0.0194176564535559,0.2163849102070197,0.0,66.60681490702498,1.0
37.55_118.05,118.05,37.55,Neither,False,False,-0.7766210737305909,-0.20276042745678,0.0,65.61023183033365,1.0
37.55_118.15,118.15,37.55,Neither,False,False,0.6622592612053901,-0.7006445727117724,1.5097847889773237,65.7898527088018,1.0
37.55_118.25,118.25,37.55,Neither,False,False,-0.1386153948347589,-0.7006445727117724,1.0303261059912816,62.42360266404987,1.0
37.55_118.35,118.35,37.55,Both high,True,True,-2.0057076582482463,1.42124288975626,2.856349600767909,53.615412593969246,1.0
37.55_118.45,118.45,37.55,EDGAR only,True,False,2.252927077816598,1.4234536321242213,1.275156071771388,44.809443597618895,1.0
37.55_118.55,118.55,37.55,Neither,False,False,3.4624563749938915,1.096774877495443,0.6426786601727796,36.00732527249242,1.0
37.55_118.65,118.65,37.55,Neither,False,False,0.4800814565402148,0.6752897349353171,0.1836224743350799,27.212794433393004,1.0
37.55_118.75,118.75,37.55,Neither,False,False,4.676200214000325,0.3367343727715828,0.979319863120426,18.436712242520898,1.0
37.55_118.85,118.85,37.55,Neither,False,False,-3.448650213317663,-0.7006445727117724,0.0,9.72913180079212,1.0
37.55_118.95,118.95,37.55,Neither,False,False,-14.526533644205305,-0.7006445727117724,0.0,2.183374160582442,0.6275237205358906
37.55_119.05,119.05,37.55,Neither,False,False,-17.617293411711437,-0.6994386326531645,,7.693908828555577,0.0
37.55_119.15,119.15,37.55,Neither,False,False,2.1242997494724327,-0.699415486010042,,15.167047224834526,0.0
37.55_119.25,119.25,37.55,Neither,False,False,2.885535741925194,-0.6951490891976138,,13.575367943878282,0.0
37.55_119.35,119.35,37.55,Neither,False,False,0.3489074911844324,-0.6606657651835873,,15.91147564328465,0.0
37.55_119.45,119.45,37.55,Neither,False,False,-0.077559173130902,-0.4017199992552088,,21.850102272672626,0.0
37.55_119.55,119.55,37.55,Neither,False,False,1.7932584271524294,0.0698181736191509,,29.27535399188054,0.0
37.55_119.65,119.65,37.55,Neither,False,False,0.7776870106683793,-0.0866853966856032,,28.027312889172595,0.0
37.55_119.75,119.75,37.55,Neither,False,False,0.6808866395542077,-0.6384038786321093,,23.112574684035103,0.0
37.55_119.85,119.85,37.55,Neither,False,False,-1.3456250415961355,0.4414468802223541,,19.321816990691865,0.0
37.55_119.95,119.95,37.55,Neither,False,False,0.7174835163133156,-0.4599168324276169,,14.878255590553971,0.0
37.65_117.85,117.85,37.65,Neither,False,False,-0.6288106282962497,0.2038072654934337,0.0,58.07501743324104,1.0
37.65_117.95,117.95,37.65,Neither,False,False,-0.026607008116296,-0.7006445727117724,0.0,55.688786175338485,1.0
37.65_118.05,118.05,37.65,Neither,False,False,-2.066461706465572,-0.5670021622765464,0.0,54.492895265841874,1.0
37.65_118.15,118.15,37.65,Neither,False,False,-1.095052902814459,1.35729915810526,0.0204299382763959,54.709028807590094,1.0
37.65_118.25,118.25,37.65,EDGAR only,True,False,1.7841020113456127,1.427645708127107,1.6139651238352772,53.25033402173616,1.0
37.65_118.35,118.35,37.65,Neither,False,False,4.237208374292124,0.7702683513493537,1.6446100312498713,49.579100283179336,1.0
37.65_118.45,118.45,37.65,Neither,False,False,3.1847123078647828,-0.0114251922179851,0.960207098990608,46.26061361031523,1.0
37.65_118.55,118.55,37.65,Neither,False,False,2.4351174950402905,0.7912246001436878,0.0612898148291877,37.54791994495675,1.0
37.65_118.65,118.65,37.65,Neither,False,False,0.5190598459979673,-0.7006445727117724,0.0,28.89663791216942,1.0
37.65_118.75,118.75,37.65,Neither,False,False,5.105305618190652,-0.7006445727117724,0.0,20.38510590861764,1.0
37.65_118.85,118.85,37.65,Neither,False,False,5.897315566971447,-0.7006445727117724,0.0,11.981379050815166,1.0
37.65_118.95,118.95,37.65,Neither,False,False,-5.237585047965715,-0.7006445727117724,0.0,4.173892883580374,0.9364776241281404
37.65_119.05,119.05,37.65,Neither,False,False,-1.9228100434531283,-0.6990633095651341,0.0,3.4843351465410146,0.0984054219342625
37.65_119.15,119.15,37.65,Neither,False,False,3.909850093643676,-0.7002684337607282,0.0,6.598680536725649,0.0043752583994862
37.65_119.25,119.25,37.65,Neither,False,False,-2.142399847470396,-0.6994276656073553,0.0,2.484842774628371,0.1339270362248518
37.65_119.35,119.35,37.65,Neither,False,False,-5.128138795019718,-0.6651785351412157,,8.663653152670957,0.0
37.65_119.45,119.45,37.65,Neither,False,False,-1.6890985832203067,-0.6495302512691663,,17.300601091557425,0.0
37.65_119.55,119.55,37.65,Neither,False,False,1.2986836909984243,-0.4635812929281654,,26.05628868724133,0.0
37.65_119.65,119.65,37.65,Neither,False,False,0.1769712048943619,-0.287106697359949,,34.84131214551053,0.0
37.65_119.75,119.75,37.65,Neither,False,False,-0.5065917897198184,-0.1158602288164037,,33.20180993260605,0.0
