gid,lon,lat,total_area_km2,land_area_km2,land_fraction,n_pumpjacks_raw,n_pumpjacks_unique,density_total_area,density_land_area
37.25_118.45,118.45,37.25,98.42042821880696,98.42042821880696,1.0,13,13,0.1320863994931883,0.1320863994931883
37.25_118.55,118.55,37.25,98.42042821880696,98.42042821880696,1.0,40,40,0.4064196907482718,0.4064196907482718
37.25_118.65,118.65,37.25,98.42042821880696,98.42042821880696,1.0,156,156,1.58503679391826,1.58503679391826
37.25_118.75,118.75,37.25,98.42042821880696,98.42042821880696,1.0,510,507,5.151369580234345,5.151369580234345
37.25_118.85,118.85,37.25,98.42042821880696,98.42042821880696,1.0,0,0,0.0,0.0
37.25_118.95,118.95,37.25,98.42042821880696,90.86645758524536,0.9232479397796596,0,0,0.0,0.0
37.25_119.05,119.05,37.25,98.42042821880696,39.066563580185175,0.3969355172214139,0,0,0.0,0.0
37.25_119.15,119.15,37.25,98.42042821880696,0.6950531117618084,0.0070620817683964,0,0,0.0,0.0
37.25_119.25,119.25,37.25,98.42042821880696,0.0,0.0,0,0,0.0,
37.25_119.35,119.35,37.25,98.42042821880696,0.0,0.0,0,0,0.0,
37.25_119.45,119.45,37.25,98.42042821880696,0.0,0.0,0,0,0.0,
37.25_119.55,119.55,37.25,98.42042821880696,0.0,0.0,0,0,0.0,
37.25_119.65,119.65,37.25,98.42042821880696,0.0,0.0,0,0,0.0,
37.25_119.75,119.75,37.25,98.42042821880696,0.0,0.0,0,0,0.0,
37.25_119.85,119.85,37.25,98.42042821880696,24.044413037598133,0.2443030727741086,0,0,0.0,0.0
37.25_119.95,119.95,37.25,98.42042821880696,98.42042821880696,1.0,0,0,0.0,0.0
37.35_117.85,117.85,37.35,98.28965683677932,98.28965683677932,1.0,359,354,3.60159971448324,3.60159971448324
37.35_117.95,117.95,37.35,98.28965683677932,98.28965683677932,1.0,0,0,0.0,0.0
37.35_118.05,118.05,37.35,98.28965683677932,98.28965683677932,1.0,4,4,0.040696041971562,0.040696041971562
37.35_118.15,118.15,37.35,98.28965683677932,98.28965683677932,1.0,9,9,0.0915660944360145,0.0915660944360145
37.35_118.25,118.25,37.35,98.28965683677932,98.28965683677932,1.0,68,68,0.6918327135165545,0.6918327135165545
37.35_118.35,118.35,37.35,98.28965683677932,98.28965683677932,1.0,202,200,2.0348020985781017,2.0348020985781017
37.35_118.45,118.45,37.35,98.28965683677932,98.28965683677932,1.0,86,83,0.8444428709099121,0.8444428709099121
37.35_118.55,118.55,37.35,98.28965683677932,98.28965683677932,1.0,77,77,0.7833988079525691,0.7833988079525691
37.35_118.65,118.65,37.35,98.28965683677932,98.28965683677932,1.0,118,118,1.20053323816108,1.20053323816108
37.35_118.75,118.75,37.35,98.28965683677932,98.28965683677932,1.0,41,41,0.4171344302085108,0.4171344302085108
37.35_118.85,118.85,37.35,98.28965683677932,98.28965683677932,1.0,0,0,0.0,0.0
37.35_118.95,118.95,37.35,98.28965683677932,48.74237196147442,0.4959054037844128,40,40,0.4069604197156203,0.8206412283672957
37.35_119.05,119.05,37.35,98.28965683677932,0.0,0.0,0,0,0.0,
37.35_119.15,119.15,37.35,98.28965683677932,0.0,0.0,0,0,0.0,
37.35_119.25,119.25,37.35,98.28965683677932,0.0,0.0,0,0,0.0,
37.35_119.35,119.35,37.35,98.28965683677932,0.0,0.0,0,0,0.0,
37.35_119.45,119.45,37.35,98.28965683677932,0.0,0.0,0,0,0.0,
37.35_119.55,119.55,37.35,98.28965683677932,0.0,0.0,0,0,0.0,
37.35_119.65,119.65,37.35,98.28965683677932,0.0,0.0,0,0,0.0,
37.35_119.75,119.75,37.35,98.28965683677932,0.0,0.0,0,0,0.0,
37.35_119.85,119.85,37.35,98.28965683677932,27.28703678771853,0.2776185985981376,0,0,0.0,0.0
37.35_119.95,119.95,37.35,98.28965683677932,90.46784452721477,0.9204207994890702,0,0,0.0,0.0
37.45_117.85,117.85,37.45,98.15858604741604,98.15858604741604,1.0,103,103,1.0493223685011648,1.0493223685011648
37.45_117.95,117.95,37.45,98.15858604741604,98.15858604741604,1.0,31,31,0.3158154701314185,0.3158154701314185
37.45_118.05,118.05,37.45,98.15858604741604,98.15858604741604,1.0,437,433,4.411228986029169,4.411228986029169
37.45_118.15,118.15,37.45,98.15858604741604,98.15858604741604,1.0,451,442,4.502917348325387,4.502917348325387
37.45_118.25,118.25,37.45,98.15858604741604,98.15858604741604,1.0,35,35,0.3565658533741822,0.3565658533741822
37.45_118.35,118.35,37.45,98.15858604741604,98.15858604741604,1.0,246,243,2.4755857819978937,2.4755857819978937
37.45_118.45,118.45,37.45,98.15858604741604,98.15858604741604,1.0,200,198,2.0171439705168024,2.0171439705168024
37.45_118.55,118.55,37.45,98.15858604741604,98.15858604741604,1.0,64,64,0.652006131884219,0.652006131884219
37.45_118.65,118.65,37.45,98.15858604741604,98.15858604741604,1.0,77,77,0.7844448774232009,0.7844448774232009
37.45_118.75,118.75,37.45,98.15858604741604,98.15858604741604,1.0,65,65,0.6621937276949098,0.6621937276949098
37.45_118.85,118.85,37.45,98.15858604741604,98.15858604741604,1.0,58,58,0.5908805570200734,0.5908805570200734
37.45_118.95,118.95,37.45,98.15858604741604,49.98781364783645,0.509255640904297,0,0,0.0,0.0
37.45_119.05,119.05,37.45,98.15858604741604,0.0,0.0,0,0,0.0,
37.45_119.15,119.15,37.45,98.15858604741604,0.0,0.0,0,0,0.0,
37.45_119.25,119.25,37.45,98.15858604741604,0.0,0.0,0,0,0.0,
