gid,lon,lat,priority_class,evidence_type,evidence_count,E_high,P_high,A_high,land_area_km2,density_land_area,adjusted_ch4,index_ch4,coast_distance_km
37.25_117.95,117.95,37.25,Reference,,0,False,False,False,98.42042821880696,1.6561602397992077,-1.963602344163848,0.2046742782477383,88.61267239744923
37.25_118.05,118.05,37.25,Reference,,0,False,False,False,98.42042821880696,0.6705924897346485,-0.5063052465446614,-0.7006445727117724,79.85632566936209
37.25_118.15,118.15,37.25,Priority 3,P,1,False,True,False,98.42042821880696,2.0016169769352383,-0.9597573138541368,-0.7006445727117724,71.11418465572652
37.25_118.25,118.25,37.25,Priority 1b,PA,2,False,True,True,98.42042821880696,2.235308299115495,0.4289808130660664,-0.7006445727117724,62.392220980911226
37.25_118.35,118.35,37.25,Reference,,0,False,False,False,98.42042821880696,0.5080246134353397,-0.1422730443855745,-0.7006445727117724,53.700267117186655
37.25_118.45,118.45,37.25,Priority 4,A,1,False,False,True,98.42042821880696,0.1320863994931883,1.020278283664294,-0.0234611565718152,45.05569451054758
37.25_118.55,118.55,37.25,Priority 4,A,1,False,False,True,98.42042821880696,0.4064196907482718,1.1073883328309757,0.6101011374489335,36.49219090494056
37.25_118.65,118.65,37.25,Priority 4,A,1,False,False,True,98.42042821880696,1.58503679391826,3.4522335126815777,-0.2465623468430011,27.89457767984683
37.25_118.75,118.75,37.25,Priority 1b,PA,2,False,True,True,98.42042821880696,5.151369580234345,3.4930900366392543,0.9933148623754238,19.29506847533829
37.25_118.85,118.85,37.25,Priority 2,EA,2,True,False,True,98.42042821880696,0.0,2.4776327356578087,1.4641781205472952,11.038991839983758
37.25_118.95,118.95,37.25,Reference,E,1,True,False,False,90.86645758524536,0.0,-2.7699835415332386,1.3750874652943896,3.944578019454044
37.25_119.05,119.05,37.25,Reference,,0,False,False,False,39.066563580185175,0.0,-19.66716537155761,-0.5653077856379152,1.063060044345512
37.25_119.15,119.15,37.25,Reference,,0,False,False,False,0.6950531117618084,0.0,-16.213520116448382,-0.4691010908592326,6.255166124164063
37.25_119.25,119.25,37.25,Reference,,0,False,False,False,0.0,,-9.908430244701094,0.4980602443104335,12.1457180185512
37.25_119.35,119.35,37.25,Priority 4,A,1,False,False,True,0.0,,0.7519056398003353,-0.7006445727117724,13.717974412144388
37.25_119.45,119.45,37.25,Reference,,0,False,False,False,0.0,,-0.2346868816870971,-0.7006445727117724,13.17962957536488
37.25_119.55,119.55,37.25,Reference,,0,False,False,False,0.0,,-0.9551907717107916,-0.7006445727117724,12.104329633985396
37.25_119.65,119.65,37.25,Priority 4,A,1,False,False,True,0.0,,0.515191157766175,-0.7006445727117724,12.54810068123122
37.25_119.75,119.75,37.25,Reference,,0,False,False,False,0.0,,-27.70454792288314,-0.7006445727117724,8.563761283486222
37.25_119.85,119.85,37.25,Reference,,0,False,False,False,24.044413037598133,0.0,-5.778909960549208,-0.7006445727117724,3.0155710980970736
37.25_119.95,119.95,37.25,Priority 4,A,1,False,False,True,98.42042821880696,0.0,6.140518431657663,0.0066174652452474,4.644572100168387
37.35_117.85,117.85,37.35,Priority 3,P,1,False,True,False,98.28965683677932,3.60159971448324,-0.344620341482679,0.1366171580786161,90.20855197753608
37.35_117.95,117.95,37.35,Reference,,0,False,False,False,98.28965683677932,0.0,-1.7813916723949437,0.9590305362519786,87.71747873540515
37.35_118.05,118.05,37.35,Reference,,0,False,False,False,98.28965683677932,0.040696041971562,-2.6386775787861114,0.5381276114335493,78.90988162901473
37.35_118.15,118.15,37.35,Reference,,0,False,False,False,98.28965683677932,0.0915660944360145,-4.318167807826093,0.0733422959120625,70.10385318624058
37.35_118.25,118.25,37.35,Reference,,0,False,False,False,98.28965683677932,0.6918327135165545,-3.539896170998236,-0.0321296255010245,61.30006944739433
37.35_118.35,118.35,37.35,Priority 3,P,1,False,True,False,98.28965683677932,2.0348020985781017,-0.7783318456125452,-0.7006445727117724,52.49965968267804
37.35_118.45,118.45,37.35,Priority 4,A,1,False,False,True,98.28965683677932,0.8444428709099121,1.3406383941813025,-0.0452826035664646,43.70466209894436
37.35_118.55,118.55,37.35,Priority 4,A,1,False,False,True,98.28965683677932,0.7833988079525691,4.262744877648462,0.6231976947160965,34.91916639058049
37.35_118.65,118.65,37.35,Priority 2,EA,2,True,False,True,98.28965683677932,1.20053323816108,3.963019782569962,1.4378017946825694,26.152750208866088
37.35_118.75,118.75,37.35,Reference,E,1,True,False,False,98.28965683677932,0.4171344302085108,-0.7029564938334861,1.4347033317931015,17.43421852008344
37.35_118.85,118.85,37.35,Reference,,0,False,False,False,98.28965683677932,0.0,-7.404245246811675,-0.7006339070087608,8.901623516647371
37.35_118.95,118.95,37.35,Reference,,0,False,False,False,48.74237196147442,0.8206412283672957,-12.574169284731832,-0.6963278016750978,1.5405095988019033
37.35_119.05,119.05,37.35,Reference,,0,False,False,False,0.0,,-26.24351222103221,-0.6654088672030002,8.993047773703978
