gid,lat,lon,n_pumpjacks,grid_area_km2,pumpjack_density_km2,distance_to_nearest_pumpjack_km,distance_to_nearest_high_density_cluster_km,pumpjack_class
37.35_117.85,37.35,117.85,359,98.11564122599933,3.6589477020598618,2.257528872140725,0.0,Q4
37.35_117.95,37.35,117.95,0,98.11564122599933,0.0,6.965415040388506,8.813837695473804,No-well
37.35_118.05,37.35,118.05,4,98.11564122599933,0.0407682195215583,3.0400795904245337,11.132000000000463,Q3
37.35_118.15,37.35,118.15,9,98.11564122599933,0.0917284939235062,3.1206540835522696,11.132,Q4
37.35_118.25,37.35,118.25,68,98.11564122599933,0.6930597318664918,0.7460638319338139,8.813837695471943,Q4
37.35_118.35,37.35,118.35,202,98.11564122599933,2.0587950858386965,1.5719660760990892,0.0,Q4
37.35_118.45,37.35,118.45,86,98.11564122599933,0.8765167197135044,1.6537267894945742,8.813837695473804,Q4
37.35_118.55,37.35,118.55,77,98.11564122599933,0.7847882257899982,0.7595480855262612,8.813837695473804,Q4
37.35_118.65,37.35,118.65,118,98.11564122599933,1.2026624758859712,0.0584759622106141,0.0,Q4
37.35_118.75,37.35,118.75,41,98.11564122599933,0.417874250095973,1.0872228296507362,8.813837695471943,Q4
37.35_118.85,37.35,118.85,0,98.11564122599933,0.0,7.390884545668189,14.19877314848442,No-well
37.35_118.95,37.35,118.95,40,98.11564122599933,0.4076821952155834,1.1875170951577312,20.848413936999822,Q4
37.35_119.05,37.35,119.05,0,98.11564122599933,0.0,9.287011951208829,28.68928438109078,No-well
37.35_119.15,37.35,119.15,0,98.11564122599933,0.0,17.916752266901927,36.97108576650253,No-well
37.35_119.25,37.35,119.25,0,98.11564122599933,0.0,26.65838730290595,45.45343548130568,No-well
37.35_119.35,37.35,119.35,0,98.11564122599933,0.0,35.42698401354481,54.04198258018107,No-well
37.35_119.45,37.35,119.45,0,98.11564122599933,0.0,39.91054716309728,62.6930971892795,No-well
37.35_119.55,37.35,119.55,0,98.11564122599933,0.0,43.577500634751175,70.99386574242442,No-well
37.35_119.65,37.35,119.65,0,98.11564122599933,0.0,48.58510901634393,76.77662441913546,No-well
37.35_119.75,37.35,119.75,0,98.11564122599933,0.0,54.56550691171551,83.09355336718171,No-well
37.35_119.85,37.35,119.85,0,98.11564122599933,0.0,61.17564532110165,89.8320356833608,No-well
