replicate,method,mean_dxch4_ppb,n_days,n_high_grids,n_controls,mean_match_distance_km
144,latitude_stratified_random_hotspot,0.4371071656434127,883,38,161,12.085862186241348
145,latitude_stratified_random_hotspot,-0.4441885854481257,914,38,163,13.638238257525751
146,latitude_stratified_random_hotspot,0.5817416767586597,914,38,167,15.050754502320991
147,latitude_stratified_random_hotspot,0.2608117558997677,919,38,165,15.527903680804782
148,latitude_stratified_random_hotspot,-0.3015607305065544,948,38,166,13.595156693947306
149,latitude_stratified_random_hotspot,-0.4892167101558284,882,38,170,13.545214702560136
150,latitude_stratified_random_hotspot,0.1240670800270683,934,38,166,15.684106785393332
151,latitude_stratified_random_hotspot,0.8285150627874802,903,38,164,14.555907891404782
152,latitude_stratified_random_hotspot,0.6624189365535602,961,38,170,15.851938813125646
153,latitude_stratified_random_hotspot,1.2154289376877112,925,38,167,13.194104886851486
154,latitude_stratified_random_hotspot,0.113143401809997,946,38,161,14.135817680555489
155,latitude_stratified_random_hotspot,-0.2867862067014433,902,38,161,12.476423270584108
156,latitude_stratified_random_hotspot,0.3390198316395618,887,38,162,12.993543366871402
157,latitude_stratified_random_hotspot,1.450671656122542,950,38,169,13.386315178065312
158,latitude_stratified_random_hotspot,0.1161882635828264,826,38,165,13.482923950656776
159,latitude_stratified_random_hotspot,-0.6048973754449433,918,38,161,14.023860024657298
160,latitude_stratified_random_hotspot,-0.2502997000633924,920,38,169,13.322818764214908
161,latitude_stratified_random_hotspot,-0.0266038073166836,890,38,163,13.60877980204635
162,latitude_stratified_random_hotspot,0.5944119564470202,927,38,161,13.358461894159491
163,latitude_stratified_random_hotspot,0.2480304481759369,942,38,166,12.937299887882366
164,latitude_stratified_random_hotspot,0.0103636416800786,921,38,167,14.569898830819623
165,latitude_stratified_random_hotspot,0.959649993061264,880,38,163,14.700133664257558
166,latitude_stratified_random_hotspot,1.0333967252016052,924,38,168,14.25165889566642
167,latitude_stratified_random_hotspot,0.5506127504351874,896,38,166,13.025299699732372
168,latitude_stratified_random_hotspot,-0.0244427538075863,914,38,165,14.69866315947626
169,latitude_stratified_random_hotspot,-0.3635377378542618,898,38,162,13.845814875722985
170,latitude_stratified_random_hotspot,0.683567527085946,906,38,166,12.87481835528626
171,latitude_stratified_random_hotspot,0.0520461191176811,953,38,160,13.27455660418494
172,latitude_stratified_random_hotspot,0.994333244774835,893,38,165,14.392835656307604
173,latitude_stratified_random_hotspot,-0.9778438261032816,929,38,165,12.813214163330082
174,latitude_stratified_random_hotspot,-0.0405447144174186,862,38,162,15.502041628697322
175,latitude_stratified_random_hotspot,0.6273537001993006,924,38,166,13.243318758572698
176,latitude_stratified_random_hotspot,0.6629254516586676,866,38,168,13.258877682630724
177,latitude_stratified_random_hotspot,0.3106084315063188,933,38,163,13.559280794866185
178,latitude_stratified_random_hotspot,0.1113328878870291,832,38,165,15.68285876323656
179,latitude_stratified_random_hotspot,-0.162410879924154,910,38,165,14.65765059651733
180,latitude_stratified_random_hotspot,1.0442949567519526,865,38,162,13.968791438479858
181,latitude_stratified_random_hotspot,0.0709850343984521,935,38,164,14.78259286084431
182,latitude_stratified_random_hotspot,0.6437624740211773,872,38,168,13.203576395381226
183,latitude_stratified_random_hotspot,-0.0638335728710223,903,38,171,14.810285057561412
184,latitude_stratified_random_hotspot,-0.4320106991865291,860,38,169,14.464520235961684
185,latitude_stratified_random_hotspot,0.2098180283102914,912,38,161,12.919861497746329
186,latitude_stratified_random_hotspot,2.13335974435595,904,38,167,14.917278290818343
187,latitude_stratified_random_hotspot,0.3000699301223204,927,38,162,13.350900786988063
188,latitude_stratified_random_hotspot,0.1997455714687828,923,38,167,14.88572920641694
189,latitude_stratified_random_hotspot,0.8401562552256648,957,38,161,12.530765083613709
190,latitude_stratified_random_hotspot,-0.0596269884575947,872,38,162,13.786418452727668
191,latitude_stratified_random_hotspot,0.5892059401271506,926,38,169,14.632296550945751
192,latitude_stratified_random_hotspot,-0.0303237469524867,901,38,164,13.816646022447284
193,latitude_stratified_random_hotspot,-1.337354091092798,908,38,171,12.66527179157734
194,latitude_stratified_random_hotspot,0.9538922935302904,937,38,163,13.426327680944604
195,latitude_stratified_random_hotspot,-0.3805937059091268,925,38,166,14.257703837533064
196,latitude_stratified_random_hotspot,0.0759655111587775,867,38,161,13.524321672117033
197,latitude_stratified_random_hotspot,0.0081793073358302,897,38,165,14.592461585249096
198,latitude_stratified_random_hotspot,-0.3252463854311519,920,38,169,14.354183681378847
199,latitude_stratified_random_hotspot,0.4133502357099835,858,38,163,14.192611717106386
200,latitude_stratified_random_hotspot,0.6878836693231267,839,38,164,16.23528027423328
201,latitude_stratified_random_hotspot,1.2655600751198453,898,38,163,13.465456874474851
202,latitude_stratified_random_hotspot,0.5375890394260127,907,38,168,13.409643322468064
203,latitude_stratified_random_hotspot,0.1352367573165135,846,38,164,15.567438923045836
204,latitude_stratified_random_hotspot,-0.2509564004820416,870,38,165,14.500078276907026
205,latitude_stratified_random_hotspot,-0.9224500607566136,857,38,165,13.668230116120402
206,latitude_stratified_random_hotspot,0.3610642324492797,847,38,165,12.720705131220148
207,latitude_stratified_random_hotspot,-0.1079478890839471,922,38,166,14.442167949049482
208,latitude_stratified_random_hotspot,1.0568546467656283,862,38,168,13.427946924668708
209,latitude_stratified_random_hotspot,-0.1288402093209992,922,38,167,13.200474294274082
210,latitude_stratified_random_hotspot,0.7193951146677446,861,38,166,14.39494288657488
211,latitude_stratified_random_hotspot,0.7541593012532553,876,38,166,13.338848275680842
212,latitude_stratified_random_hotspot,-0.5676385943672283,864,38,167,13.559226055688873
213,latitude_stratified_random_hotspot,0.636699182392331,870,38,167,14.014098013178227
